 ,,,,,,,,,,,,,,,,,,,,,,,,,
EXPENSE DETAILS ,,,MONTH,,,,,,,,,,,,,,,,,,,,,,
,,,Jun,,,,,,,,,,,,,,,,,,,,,,
Sr No.,Date ,Description,Amount ,Payment Mode,Vendor,Remark,,,,,,,,,,,,,,,,,,,
1,01-Jun-2026,guest form photo copy,300,online,vishnu kumar,,,,,,,,,,,,,,,,,,,,
2,,petrol,561,online,rmd indian oil,,,,,,,,,,,,,,,,,,,,
3,02-Jun-2026,decoration,580,Online,gaurishankar sharma,,,,,,,,,,,,,,,,,,,,
4,04-Jun-2026,petrol,507,online,yaduraj fill station,,,,,,,,,,,,,,,,,,,,
5,06-Jun-2026,water tanker,2125,online,,,,,,,,,,,,,,,,,,,,,
6,,hardware,500,online,bohra battery agency,,,,,,,,,,,,,,,,,,,,
7,09-Jun-2026,Garbage,900,online,ramesh,,,,,,,,,,,,,,,,,,,,
8,10-Jun-2026,hardware,260,online,bohra battery agency,,,,,,,,,,,,,,,,,,,,
9,11-Jun-2026,hardware,160,online,magan ram sharma,,,,,,,,,,,,,,,,,,,,
10,13-Jun-2026,petrol,557,online,yaduram fill station,,,,,,,,,,,,,,,,,,,,
11,,diesel ,9550,cash,,97 ltr,,,,,,,,,,,,,,,,,,,
12,,petson swimming pool set,440,online ,Amazon,,,,,,,,,,,,,,,,,,,,
13,,hardware,180,cash,,,,,,,,,,,,,,,,,,,,,
14,15-Jun-2026,sport ,1360,online,kidland,,,,,,,,,,,,,,,,,,,,
15,18-Jun-2026,scotch brite bathroom scrubble 2,350,online,blinkit,,,,,,,,,,,,,,,,,,,,
16,19-Jun-2026,sport ,2360,cash,,,,,,,,,,,,,,,,,,,,,
17,,Garbage,900,cash,,,,,,,,,,,,,,,,,,,,,
18,20-Jun-2026,Staff id photo copy,40,online,ramesh gupta,,,,,,,,,,,,,,,,,,,,
19,21-Jun-2026,petrol,450,cash,,,,,,,,,,,,,,,,,,,,,
,,Murgi 2 ,1900,online,shobhit garasiya,"ek 1200, ek 700",,,,,,,,,,,,,,,,,,,
21,22-Jun-2026,hardware,180,online,magan ram sharma,,,,,,,,,,,,,,,,,,,,
22,24-Jun-2026,Gamle 2,580,online,,,,,,,,,,,,,,,,,,,,,
23,,Balloon 18 pkt,1400,online,gaurishankar sharma,,,,,,,,,,,,,,,,,,,,
24,25-Jun-2026,hardware,810,online ,magan ram sharma,,,,,,,,,,,,,,,,,,,,
25,26-Jun-2026,uniform staff,2751,online,vishal megamart,,,,,,,,,,,,,,,,,,,,
26,27-Jun-2026,hardware,1230,online,shree nand paint,,,,,,,,,,,,,,,,,,,,
27,,cooler pump,230,online,magan ram sharma,,,,,,,,,,,,,,,,,,,,
28,28-Jun-2026,garbage,600,cash,,,,,,,,,,,,,,,,,,,,,
29,,hardware,110,online,magan ram sharma,,,,,,,,,,,,,,,,,,,,
30,,extra mattress,300,online,rakesh,,,,,,,,,,,,,,,,,,,,
31,29-06-2026,diesel ,9300,online,agarwal moters,95,,,,,,,,,,,,,,,,,,,
32,,kiraya,130,cash ,,diesel lane ka,,,,,,,,,,,,,,,,,,,
